datetime,cnt
2011.1.20 0:00,0
2011.1.20 1:00,0
2011.1.20 2:00,0
2011.1.20 3:00,0
2011.1.20 4:00,0
2011.1.20 5:00,0
2011.1.20 6:00,0
2011.1.20 7:00,0
2011.1.20 8:00,0
2011.1.20 9:00,0
2011.1.20 10:00,0
2011.1.20 11:00,0
2011.1.20 12:00,0
2011.1.20 13:00,0
2011.1.20 14:00,0
2011.1.20 15:00,0
2011.1.20 16:00,0
2011.1.20 17:00,0
2011.1.20 18:00,0
2011.1.20 19:00,0
2011.1.20 20:00,0
2011.1.20 21:00,0
2011.1.20 22:00,0
2011.1.20 23:00,0
2011.1.21 0:00,0
2011.1.21 1:00,0
2011.1.21 2:00,0
2011.1.21 3:00,0
2011.1.21 4:00,0
2011.1.21 5:00,0
2011.1.21 6:00,0
2011.1.21 7:00,0
2011.1.21 8:00,0
2011.1.21 9:00,0
2011.1.21 10:00,0
2011.1.21 11:00,0
2011.1.21 12:00,0
2011.1.21 13:00,0
2011.1.21 14:00,0
2011.1.21 15:00,0
2011.1.21 16:00,0
2011.1.21 17:00,0
2011.1.21 18:00,0
2011.1.21 19:00,0
2011.1.21 20:00,0
2011.1.21 21:00,0
2011.1.21 22:00,0
2011.1.21 23:00,0
2011.1.22 0:00,0
2011.1.22 1:00,0
2011.1.22 2:00,0
2011.1.22 3:00,0
2011.1.22 4:00,0
2011.1.22 6:00,0
2011.1.22 7:00,0
2011.1.22 8:00,0
2011.1.22 9:00,0
2011.1.22 10:00,0
2011.1.22 11:00,0
2011.1.22 12:00,0
2011.1.22 13:00,0
2011.1.22 14:00,0
2011.1.22 15:00,0
2011.1.22 16:00,0
2011.1.22 17:00,0
2011.1.22 18:00,0
2011.1.22 19:00,0
2011.1.22 20:00,0
2011.1.22 21:00,0
2011.1.22 22:00,0
2011.1.22 23:00,0
2011.1.23 0:00,0
2011.1.23 1:00,0
2011.1.23 2:00,0
2011.1.23 3:00,0
2011.1.23 5:00,0
2011.1.23 6:00,0
2011.1.23 7:00,0
2011.1.23 8:00,0
2011.1.23 9:00,0
2011.1.23 10:00,0
2011.1.23 11:00,0
2011.1.23 12:00,0
2011.1.23 13:00,0
2011.1.23 14:00,0
2011.1.23 15:00,0
2011.1.23 16:00,0
2011.1.23 17:00,0
2011.1.23 18:00,0
2011.1.23 19:00,0
2011.1.23 20:00,0
2011.1.23 21:00,0
2011.1.23 22:00,0
2011.1.23 23:00,0
2011.1.24 0:00,0
2011.1.24 1:00,0
2011.1.24 3:00,0
2011.1.24 4:00,0
2011.1.24 5:00,0
2011.1.24 6:00,0
2011.1.24 7:00,0
2011.1.24 8:00,0
2011.1.24 9:00,0
2011.1.24 10:00,0
2011.1.24 11:00,0
2011.1.24 12:00,0
2011.1.24 13:00,0
2011.1.24 14:00,0
2011.1.24 15:00,0
2011.1.24 16:00,0
2011.1.24 17:00,0
2011.1.24 18:00,0
2011.1.24 19:00,0
2011.1.24 20:00,0
2011.1.24 21:00,0
2011.1.24 22:00,0
2011.1.24 23:00,0
2011.1.25 0:00,0
2011.1.25 1:00,0
2011.1.25 2:00,0
2011.1.25 4:00,0
2011.1.25 5:00,0
2011.1.25 6:00,0
2011.1.25 7:00,0
2011.1.25 8:00,0
